assessmentId,internalTaxonId,scientificName,code,name,majorImportance,season,suitability
503146,11481,Lemmus lemmus,3.3,Shrubland - Boreal,,,Suitable
503146,11481,Lemmus lemmus,4.1,Grassland - Tundra,,,Suitable
503146,11481,Lemmus lemmus,5.4,"Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands",,,Suitable
503146,11481,Lemmus lemmus,4.2,Grassland - Subarctic,,,Suitable
503146,11481,Lemmus lemmus,3.1,Shrubland - Subarctic,,,Suitable
510082,12835,Marmota marmota,14.2,Artificial/Terrestrial - Pastureland,,,Suitable
510082,12835,Marmota marmota,6,"Rocky areas (eg. inland cliffs, mountain peaks)",,,Suitable
510082,12835,Marmota marmota,4.4,Grassland - Temperate,,,Suitable
513559,13486,Microtus thomasi,14.2,Artificial/Terrestrial - Pastureland,,,Suitable
513559,13486,Microtus thomasi,14.1,Artificial/Terrestrial - Arable Land,,,Suitable
513559,13486,Microtus thomasi,4.4,Grassland - Temperate,,,Suitable
513663,13490,Microtus multiplex,14.2,Artificial/Terrestrial - Pastureland,,,Suitable
513663,13490,Microtus multiplex,1.4,Forest - Temperate,,,Suitable
513663,13490,Microtus multiplex,4.4,Grassland - Temperate,,,Suitable
513760,13491,Microtus savii,3.4,Shrubland - Temperate,,,Suitable
513760,13491,Microtus savii,14.3,Artificial/Terrestrial - Plantations,,,Suitable
513760,13491,Microtus savii,14.2,Artificial/Terrestrial - Pastureland,,,Suitable
513760,13491,Microtus savii,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,,,Suitable
513760,13491,Microtus savii,14.1,Artificial/Terrestrial - Arable Land,,,Suitable
513760,13491,Microtus savii,1.4,Forest - Temperate,,,Suitable
513760,13491,Microtus savii,14.4,Artificial/Terrestrial - Rural Gardens,,,Suitable
513760,13491,Microtus savii,14.5,Artificial/Terrestrial - Urban Areas,,,Suitable
513875,13493,Microtus duodecimcostatus,3.4,Shrubland - Temperate,,,Suitable
513875,13493,Microtus duodecimcostatus,14.3,Artificial/Terrestrial - Plantations,,,Suitable
513875,13493,Microtus duodecimcostatus,14.2,Artificial/Terrestrial - Pastureland,,,Suitable
513875,13493,Microtus duodecimcostatus,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,,,Suitable
513875,13493,Microtus duodecimcostatus,14.1,Artificial/Terrestrial - Arable Land,,,Suitable
513980,13494,Microtus lusitanicus,14.3,Artificial/Terrestrial - Plantations,,,Suitable
513980,13494,Microtus lusitanicus,14.2,Artificial/Terrestrial - Pastureland,,,Suitable
513980,13494,Microtus lusitanicus,14.1,Artificial/Terrestrial - Arable Land,,,Suitable
513980,13494,Microtus lusitanicus,1.4,Forest - Temperate,,,Suitable
518440,136498,Microtus liechtensteini,14.2,Artificial/Terrestrial - Pastureland,,,Suitable
518440,136498,Microtus liechtensteini,1.4,Forest - Temperate,,,Suitable
518440,136498,Microtus liechtensteini,4.4,Grassland - Temperate,,,Suitable
518549,136503,Plecotus sardus,1.4,Forest - Temperate,,,Suitable
518549,136503,Plecotus sardus,7.1,Caves and Subterranean Habitats (non-aquatic) - Caves,,,Suitable
518646,136536,Microtus brachycercus,14.3,Artificial/Terrestrial - Plantations,,,Suitable
518646,136536,Microtus brachycercus,14.2,Artificial/Terrestrial - Pastureland,,,Suitable
518646,136536,Microtus brachycercus,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,,,Suitable
518646,136536,Microtus brachycercus,14.1,Artificial/Terrestrial - Arable Land,,,Suitable
518646,136536,Microtus brachycercus,14.4,Artificial/Terrestrial - Rural Gardens,,,Suitable
518646,136536,Microtus brachycercus,4.4,Grassland - Temperate,,,Suitable
518646,136536,Microtus brachycercus,14.5,Artificial/Terrestrial - Urban Areas,,,Suitable
518740,136680,Myotis alcathoe,1.4,Forest - Temperate,Yes,,Suitable
519247,136816,Apodemus epimelas,6,"Rocky areas (eg. inland cliffs, mountain peaks)",,,Suitable
544549,13984,Mus spicilegus,14.2,Artificial/Terrestrial - Pastureland,,,Suitable
544549,13984,Mus spicilegus,14.1,Artificial/Terrestrial - Arable Land,,,Suitable
544549,13984,Mus spicilegus,4.4,Grassland - Temperate,,,Suitable
1956366,1907,Apodemus alpicola,1.4,Forest - Temperate,,,Suitable
2772233,20411,Sorex samniticus,3.4,Shrubland - Temperate,,,Suitable
2772233,20411,Sorex samniticus,1.4,Forest - Temperate,,,Suitable
2791303,29650,Erinaceus europaeus,14.3,Artificial/Terrestrial - Plantations,,,Suitable
2791303,29650,Erinaceus europaeus,14.2,Artificial/Terrestrial - Pastureland,,,Suitable
2791303,29650,Erinaceus europaeus,14.1,Artificial/Terrestrial - Arable Land,,,Suitable
2791303,29650,Erinaceus europaeus,1.4,Forest - Temperate,,,Suitable
2791303,29650,Erinaceus europaeus,14.4,Artificial/Terrestrial - Rural Gardens,,,Suitable
2791303,29650,Erinaceus europaeus,4.4,Grassland - Temperate,,,Suitable
