assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
503146,11481,Lemmus lemmus,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,CRICETIDAE,Lemmus,lemmus,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Stable,Global & Europe
503908,11797,Lepus castroviejoi,ANIMALIA,CHORDATA,LAGOMORPHA,MAMMALIA,LEPORIDAE,Lepus,castroviejoi,,,,"Palacios, 1977",Vulnerable,B1ab(v),3.1,Decreasing,"Global, Europe & Mediterranean"
507698,12695,Malaclemys terrapin,ANIMALIA,CHORDATA,TESTUDINES,REPTILIA,EMYDIDAE,Malaclemys,terrapin,,,,"(Schoepff, 1793)",Vulnerable,A4acde,3.1,Decreasing,Global
510082,12835,Marmota marmota,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,SCIURIDAE,Marmota,marmota,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Stable,Global & Europe
513175,13462,Microtus felteni,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,CRICETIDAE,Microtus,felteni,,,,"Malec &amp; Storch, 1963",Least Concern,,3.1,Unknown,"Global, Europe & Mediterranean"
513559,13486,Microtus thomasi,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,CRICETIDAE,Microtus,thomasi,,,,"(Barrett-Hamilton, 1903)",Least Concern,,3.1,Stable,"Global, Europe & Mediterranean"
513663,13490,Microtus multiplex,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,CRICETIDAE,Microtus,multiplex,,,,"(Fatio, 1905)",Least Concern,,3.1,Stable,"Global, Europe & Mediterranean"
513760,13491,Microtus savii,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,CRICETIDAE,Microtus,savii,,,,"(de Selys-Longchamps, 1838)",Least Concern,,3.1,Stable,"Global, Europe & Mediterranean"
513875,13493,Microtus duodecimcostatus,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,CRICETIDAE,Microtus,duodecimcostatus,,,,"(de Selys-Longchamps, 1839)",Least Concern,,3.1,Stable,"Global, Europe & Mediterranean"
513980,13494,Microtus lusitanicus,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,CRICETIDAE,Microtus,lusitanicus,,,,"(Gerbe, 1879)",Least Concern,,3.1,Unknown,"Global, Europe & Mediterranean"
518440,136498,Microtus liechtensteini,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,CRICETIDAE,Microtus,liechtensteini,,,,"(Wettstein, 1927)",Least Concern,,3.1,Unknown,Global & Europe
518549,136503,Plecotus sardus,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,VESPERTILIONIDAE,Plecotus,sardus,,,,"Mucedda, Kiefer, Pidinchedda, &amp; Veith, 2002",Vulnerable,B2ab(iii),3.1,Decreasing,"Global, Europe & Mediterranean"
518646,136536,Microtus brachycercus,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,CRICETIDAE,Microtus,brachycercus,,,,"Lehmann, 1961",Least Concern,,3.1,Stable,"Global, Europe & Mediterranean"
518740,136680,Myotis alcathoe,ANIMALIA,CHORDATA,CHIROPTERA,MAMMALIA,VESPERTILIONIDAE,Myotis,alcathoe,,,,"von Helversen &amp; Heller, 2001",Data Deficient,,3.1,Unknown,Global & Europe
519144,136814,Sorex antinorii,ANIMALIA,CHORDATA,EULIPOTYPHLA,MAMMALIA,SORICIDAE,Sorex,antinorii,,,,"Bonaparte, 1840",Least Concern,,3.1,Unknown,"Global, Europe & Mediterranean"
519247,136816,Apodemus epimelas,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,MURIDAE,Apodemus,epimelas,,,,"(Nehring, 1902)",Least Concern,,3.1,Stable,"Global, Europe & Mediterranean"
544549,13984,Mus spicilegus,ANIMALIA,CHORDATA,RODENTIA,MAMMALIA,MURIDAE,Mus,spicilegus,,,,"Petényi, 1882",Least Concern,,3.1,Decreasing,Global & Europe
545209,165594334,Natrix natrix,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,NATRICIDAE,Natrix,natrix,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Stable,Global
743082,157244,Eryx jaculus,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,BOIDAE,Eryx,jaculus,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Decreasing,Global
743434,157246,Chamaeleo chamaeleon,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,CHAMAELEONIDAE,Chamaeleo,chamaeleon,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Stable,Global
743714,157247,Stellagama stellio,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,AGAMIDAE,Stellagama,stellio,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Stable,Global
743903,47756146,Vipera berus,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,VIPERIDAE,Vipera,berus,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Decreasing,Global
