"","binomial","Prey"
"1","Acanthis_flammea",1
"2","Accipiter_cooperii",1
"3","Accipiter_gentilis",0
"4","Accipiter_striatus",1
"5","Actitis_macularius",1
"6","Aechmophorus_clarkii",0
"7","Aechmophorus_occidentalis",0
"8","Aegolius_acadicus",1
"9","Aegolius_funereus",0
"10","Aeronautes_saxatalis",0
"11","Aethia_cristatella",0
"12","Aethia_psittacula",0
"13","Aethia_pusilla",0
"14","Aethia_pygmaea",0
"15","Agelaius_phoeniceus",1
"16","Agelaius_tricolor",1
"17","Aimophila_ruficeps",1
"18","Aix_sponsa",1
"19","Alca_torda",0
"20","Alle_alle",1
"21","Amazilia_violiceps",0
"22","Amazilia_yucatanensis",0
"23","Ammodramus_savannarum",1
"24","Ammospiza_caudacuta",0
"25","Ammospiza_leconteii",0
"26","Ammospiza_maritima",0
"27","Ammospiza_nelsoni",0
"28","Amphispiza_bilineata",0
"29","Amphispiza_quinquestriata",0
"30","Anas_acuta",1
"31","Anas_bahamensis",0
"32","Anas_carolinensis",0
"33","Anas_crecca",0
"34","Anas_fulvigula",1
"35","Anas_platyrhynchos",1
"36","Anas_rubripes",0
"37","Anhinga_anhinga",0
"38","Anous_stolidus",0
"39","Anser_albifrons",0
"40","Anser_caerulescens",0
"41","Anser_canagicus",0
"42","Anser_rossii",0
"43","Anthus_cervinus",0
"44","Anthus_rubescens",0
"45","Anthus_spragueii",0
"46","Antrostomus_arizonae",0
"47","Antrostomus_carolinensis",1
"48","Antrostomus_ridgwayi",0
"49","Antrostomus_vociferus",1
"50","Aphelocoma_californica",1
"51","Aphelocoma_coerulescens",1
"52","Aphelocoma_wollweberi",0
"53","Aquila_chrysaetos",0
"54","Aramus_guarauna",0
"55","Archilochus_alexandri",1
"56","Archilochus_colubris",1
"57","Ardea_alba",0
"58","Ardea_herodias",0
"59","Ardea_occidentalis",0
"60","Ardenna_bulleri",0
"61","Ardenna_carneipes",0
"62","Ardenna_creatopus",0
"63","Ardenna_gravis",0
"64","Ardenna_grisea",0
"65","Ardenna_pacifica",0
"66","Ardenna_tenuirostris",0
"67","Arenaria_interpres",1
"68","Arenaria_melanocephala",0
"69","Arremonops_rufivirgatus",0
"70","Artemisiospiza_belli",0
"71","Artemisiospiza_nevadensis",0
"72","Asio_flammeus",0
"73","Asio_otus",0
"74","Athene_cunicularia",1
"75","Atthis_heloisa",0
"76","Auriparus_flaviceps",0
"77","Aythya_affinis",0
"78","Aythya_americana",0
"79","Aythya_collaris",0
"80","Aythya_fuligula",0
"81","Aythya_marila",0
"82","Aythya_valisineria",0
"83","Baeolophus_atricristatus",0
"84","Baeolophus_bicolor",1
"85","Baeolophus_inornatus",1
"86","Baeolophus_wollweberi",0
"87","Bartramia_longicauda",0
"88","Basilinna_leucotis",0
"89","Bombycilla_cedrorum",1
"90","Bombycilla_garrulus",1
"91","Bonasa_umbellus",1
"92","Botaurus_lentiginosus",0
"93","Brachyramphus_brevirostris",0
"94","Brachyramphus_marmoratus",0
"95","Branta_bernicla",0
"96","Branta_canadensis",1
"97","Branta_hutchinsii",0
"98","Bubo_scandiacus",0
"99","Bubo_virginianus",1
"100","Bubulcus_ibis",0
"101","Bucephala_albeola",0
"102","Bucephala_clangula",1
"103","Bucephala_islandica",0
"104","Bulweria_bulwerii",0
"105","Burhinus_bistriatus",0
"106","Buteo_albonotatus",0
"107","Buteo_brachyurus",0
"108","Buteo_jamaicensis",0
"109","Buteo_lagopus",0
"110","Buteo_lineatus",1
"111","Buteo_plagiatus",0
"112","Buteo_platypterus",0
"113","Buteo_regalis",0
"114","Buteo_swainsoni",0
"115","Buteogallus_anthracinus",0
"116","Butorides_striata",0
"117","Cairina_moschata",0
"118","Calamospiza_melanocorys",0
"119","Calcarius_lapponicus",1
"120","Calcarius_ornatus",0
"121","Calcarius_pictus",0
"122","Calidris_acuminata",0
"123","Calidris_alba",0
"124","Calidris_alpina",0
"125","Calidris_bairdii",0
"126","Calidris_canutus",0
"127","Calidris_ferruginea",0
"128","Calidris_fuscicollis",0
"129","Calidris_himantopus",0
"130","Calidris_maritima",0
"131","Calidris_mauri",0
"132","Calidris_melanotos",0
"133","Calidris_minutilla",0
"134","Calidris_ptilocnemis",0
"135","Calidris_pusilla",1
"136","Calidris_ruficollis",0
"137","Calidris_subminuta",0
"138","Calidris_subruficollis",0
"139","Calidris_virgata",0
"140","Callipepla_californica",1
"141","Callipepla_gambelii",0
"142","Callipepla_squamata",0
"143","Calonectris_borealis",0
"144","Calothorax_lucifer",0
"145","Calypte_anna",1
"146","Calypte_costae",0
"147","Camptostoma_imberbe",0
"148","Campylorhynchus_brunneicapillus",1
"149","Caracara_cheriway",0
"150","Cardellina_canadensis",1
"151","Cardellina_pusilla",1
"152","Cardellina_rubrifrons",0
"153","Cardinalis_cardinalis",1
"154","Cardinalis_sinuatus",0
"155","Catharacta_maccormicki",0
"156","Catharacta_skua",0
"157","Cathartes_aura",0
"158","Catharus_bicknelli",0
"159","Catharus_fuscescens",1
"160","Catharus_guttatus",1
"161","Catharus_minimus",0
"162","Catharus_swainsoni",0
"163","Catharus_ustulatus",1
"164","Catherpes_mexicanus",1
"165","Centrocercus_minimus",0
"166","Centrocercus_urophasianus",0
"167","Cepphus_columba",0
"168","Cepphus_grylle",0
"169","Cerorhinca_monocerata",0
"170","Certhia_americana",1
"171","Chaetura_pelagica",1
"172","Chaetura_vauxi",0
"173","Chamaea_fasciata",0
"174","Charadrius_collaris",0
"175","Charadrius_hiaticula",0
"176","Charadrius_melodus",1
"177","Charadrius_mongolus",0
"178","Charadrius_montanus",0
"179","Charadrius_nivosus",1
"180","Charadrius_semipalmatus",0
"181","Charadrius_vociferus",1
"182","Charadrius_wilsonia",0
"183","Chlidonias_niger",0
"184","Chloroceryle_americana",0
"185","Chondestes_grammacus",1
"186","Chondrohierax_uncinatus",0
"187","Chordeiles_acutipennis",0
"188","Chordeiles_gundlachii",0
"189","Chordeiles_minor",1
"190","Ciccaba_virgata",0
"191","Cinclus_mexicanus",1
"192","Circus_hudsonius",0
"193","Cistothorus_palustris",1
"194","Cistothorus_stellaris",1
"195","Clangula_hyemalis",0
"196","Coccyzus_americanus",1
"197","Coccyzus_erythropthalmus",1
"198","Coccyzus_minor",0
"199","Coereba_flaveola",0
"200","Colaptes_auratus",1
"201","Colaptes_cafer",0
"202","Colaptes_chrysoides",0
"203","Colinus_virginianus",1
"204","Columbina_inca",1
"205","Columbina_passerina",1
"206","Contopus_cooperi",1
"207","Contopus_pertinax",0
"208","Contopus_sordidulus",0
"209","Contopus_virens",1
"210","Coragyps_atratus",1
"211","Corvus_brachyrhynchos",1
"212","Corvus_caurinus",0
"213","Corvus_corax",0
"214","Corvus_cryptoleucus",0
"215","Corvus_imparatus",0
"216","Corvus_ossifragus",1
"217","Coturnicops_noveboracensis",1
"218","Crotophaga_ani",0
"219","Crotophaga_sulcirostris",0
"220","Cyanecula_svecica",0
"221","Cyanocitta_cristata",1
"222","Cyanocitta_stelleri",1
"223","Cyanocorax_morio",0
"224","Cyanocorax_yncas",0
"225","Cygnus_buccinator",0
"226","Cygnus_columbianus",0
"227","Cygnus_cygnus",0
"228","Cynanthus_latirostris",0
"229","Cypseloides_niger",0
"230","Cyrtonyx_montezumae",0
"231","Dendragapus_fuliginosus",0
"232","Dendragapus_obscurus",0
"233","Dendrocygna_autumnalis",1
"234","Dendrocygna_bicolor",0
"235","Dolichonyx_oryzivorus",1
"236","Dryobates_nuttallii",1
"237","Dryobates_pubescens",1
"238","Dryobates_scalaris",0
"239","Dumetella_carolinensis",1
"240","Egretta_caerulea",0
"241","Egretta_garzetta",0
"242","Egretta_rufescens",0
"243","Egretta_thula",0
"244","Egretta_tricolor",0
"245","Elanoides_forficatus",0
"246","Elanus_leucurus",0
"247","Empidonax_alnorum",0
"248","Empidonax_difficilis",1
"249","Empidonax_flaviventris",1
"250","Empidonax_fulvifrons",0
"251","Empidonax_hammondii",0
"252","Empidonax_minimus",1
"253","Empidonax_oberholseri",0
"254","Empidonax_occidentalis",0
"255","Empidonax_traillii",0
"256","Empidonax_virescens",1
"257","Empidonax_wrightii",0
"258","Empidonomus_varius",0
"259","Eremophila_alpestris",1
"260","Eudocimus_albus",0
"261","Eudromias_morinellus",0
"262","Eugenes_fulgens",0
"263","Euphagus_carolinus",0
"264","Euphagus_cyanocephalus",1
"265","Euptilotis_neoxenus",0
"266","Falcipennis_canadensis",0
"267","Falcipennis_franklinii",0
"268","Falco_columbarius",1
"269","Falco_femoralis",0
"270","Falco_mexicanus",0
"271","Falco_peregrinus",0
"272","Falco_rusticolus",0
"273","Falco_sparverius",1
"274","Fratercula_arctica",0
"275","Fratercula_cirrhata",0
"276","Fratercula_corniculata",0
"277","Fregata_ariel",0
"278","Fregata_magnificens",0
"279","Fregata_minor",0
"280","Fulica_americana",1
"281","Fulmarus_glacialis",0
"282","Gallinago_delicata",1
"283","Gallinula_galeata",1
"284","Gavia_adamsii",0
"285","Gavia_immer",0
"286","Gavia_pacifica",0
"287","Gavia_stellata",0
"288","Gelochelidon_nilotica",0
"289","Geococcyx_californianus",1
"290","Geothlypis_formosa",1
"291","Geothlypis_philadelphia",0
"292","Geothlypis_tolmiei",0
"293","Geothlypis_trichas",1
"294","Geranoaetus_albicaudatus",0
"295","Glaucidium_brasilianum",1
"296","Glaucidium_californicum",0
